資料名稱,Image Segmentation,圖像分割,,,,,
分類數目,7,,,,,,
分類內容,brickface,sky,foliage,cement,window,path,grass
欄位編號,欄位名稱,欄位說明,,,,,
1,class,,,,,,
2,region-centroid-col,the column of the center pixel of the region,,,,,
3,region-centroid-row,the row of the center pixel of the region,,,,,
4,region-pixel-count,the number of pixels in a region = 9,,,,,
5,short-line-density-5,"the results of a line extractoin algorithm that counts how many lines of length 5 (any orientation) with low contrast, less than or equal to 5, go through the region",,,,,
6,short-line-density-2,"same as short-line-density-5 but counts lines of high contrast, greater than 5",,,,,
7,vedge-mean,"measure the contrast of horizontally adjacent pixels in the region.  There are 6, the mean and standard deviation are given.  This attribute is used as a vertical edge detector.",,,,,
8,vegde-sd,see vedge-mean,,,,,
9,hedge-mean,easures the contrast of vertically adjacent pixels. Used for horizontal line detection.,,,,,
10,hedge-sd,see hedge-mean,,,,,
11,intensity-mean,the average over the region of (R + G + B)/3,,,,,
12,rawred-mean,the average over the region of the R value.,,,,,
13,rawblue-mean,the average over the region of the B value,,,,,
14,rawgreen-mean,the average over the region of the G value,,,,,
15,exred-mean,measure the excess red:  (2R - (G + B)),,,,,
16,exblue-mean,measure the excess blue:  (2B - (G + R)),,,,,
17,exgreen-mean,measure the excess green:  (2G - (R + B)),,,,,
18,value-mean,"3-d nonlinear transformation of RGB. (Algorithm can be found in Foley and VanDam, Fundamentals of Interactive Computer Graphics)",,,,,
19,saturatoin-mean,see value-mean,,,,,
20,hue-mean,see value-mean,,,,,
