資料名稱,soybean-large,大型大豆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分類數目,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分類內容,date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欄位編號,欄位名稱,欄位說明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,date,"april,may,june,july,august,september,october,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,plant-stand,"normal,lt-normal,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,precip,"lt-norm,norm,gt-norm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,temp,"lt-norm,norm,gt-norm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,hail,"yes,no,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,crop-hist,"diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,area-damaged,"scattered,low-areas,upper-areas,whole-field,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,severity,"minor,pot-severe,severe,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,seed-tmt,"none,fungicide,other,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,germination,"90-100%,80-89%,lt-80%,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,plant-growth,"norm,abnorm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,leaves,"norm,abnorm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,leafspots-halo,"absent,yellow-halos,no-yellow-halos,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,leafspots-marg,"w-s-marg,no-w-s-marg,dna,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,leafspot-size,"lt-1/8,gt-1/8,dna,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,leaf-shread,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,leaf-malf,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,leaf-mild,"absent,upper-surf,lower-surf,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,stem,"norm,abnorm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,lodging,"yes,no,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,stem-cankers,"absent,below-soil,above-soil,above-sec-nde,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,canker-lesion,"dna,brown,dk-brown-blk,tan,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,fruiting-bodies,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,external decay,"absent,firm-and-dry,watery,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,mycelium,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,int-discolor,"none,brown,black,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sclerotia,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,fruit-pods,"norm,diseased,few-present,dna,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,fruit spots,"absent,colored,brown-w/blk-specks,distort,dna,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,seed,"norm,abnorm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,mold-growth,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,seed-discolor,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,seed-size,"norm,lt-norm,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,shriveling,"absent,present,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,roots,"norm,rotted,galls-cysts,?.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺失數值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,date,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,plant-stand,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,precip,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,temp,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,hail,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,crop-hist,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,area-damaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,severity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,seed-tmt,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,germination,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,plant-growth,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,leaves,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,leafspots-halo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,leafspots-marg,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,leafspot-size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,leaf-shread,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,leaf-malf,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,leaf-mild,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,stem,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,lodging,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,stem-cankers,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,canker-lesion,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,fruiting-bodies,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,external decay,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,mycelium,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,int-discolor,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sclerotia,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,fruit-pods,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,fruit spots,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,seed,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,mold-growth,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,seed-discolor,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,seed-size,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,shriveling,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,roots,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
