資料名稱,Statlog (Vehicle Silhouettes),Statlog（車輛輪廓）,,
分類數目,4,,,
分類內容,OPEL,SAAB,BUS,VAN
欄位編號,欄位名稱,欄位說明,,
1,COMPACTNESS (average perim)**2/area,,,
2,CIRCULARITY (average radius)**2/area,,,
3,DISTANCE CIRCULARITY area/(av.distance from border)**2,,,
4,RADIUS RATIO (max.rad-min.rad)/av.radius,,,
5,PR.AXIS ASPECT RATIO (minor axis)/(major axis),,,
6,MAX.LENGTH ASPECT RATIO (length perp. max length)/(max length),,,
7,SCATTER RATIO (inertia about minor axis)/(inertia about major axis),,,
8,ELONGATEDNESS area/(shrink width)**2,,,
9,PR.AXIS RECTANGULARITY area/(pr.axis length*pr.axis width),,,
10,MAX.LENGTH RECTANGULARITY area/(max.length*length perp. to this),,,
11,SCALED VARIANCE (2nd order moment about minor axis)/area ALONG MAJOR AXIS,,,
12,SCALED VARIANCE (2nd order moment about major axis)/area ALONG MINOR AXIS,,,
13,SCALED RADIUS OF GYRATION (mavar+mivar)/area,,,
14,SKEWNESS ABOUT (3rd order moment about major axis)/sigma_min**3 MAJOR AXIS,,,
15,SKEWNESS ABOUT (3rd order moment about minor axis)/sigma_maj**3 MINOR AXIS,,,
16,KURTOSIS ABOUT (4th order moment about major axis)/sigma_min**4 MINOR AXIS,,,
17,KURTOSIS ABOUT (4th order moment about minor axis)/sigma_maj**4 MAJOR AXIS,,,
18,HOLLOWS RATIO (area of hollows)/(area of bounding polygon),,,
19,calss,,,
