資料名稱,primary_tumor,原發性腫瘤,,,,,,,,,,,,,,,,
分類數目,18,,,,,,,,,,,,,,,,,
分類內容,class,age,sex, histologic_type,degree_of_diffe,bone,bone_marrow,lung,pleura,peritoneum,liver,brain,skin,neck,supraclavicular,axillar,mediastinum,abdominal
,,,,,,,,,,,,,,,,,,
欄位編號,欄位名稱,欄位說明,,,,,,,,,,,,,,,,
1,class,"lung, head & neck, esophasus, thyroid, stomach, duoden & sm.int,colon, rectum, anus, salivary glands, pancreas, gallblader,liver, kidney, bladder, testis, prostate, ovary, corpus uteri,cervix uteri, vagina, breast",,,,,,,,,,,,,,,,
2,age,"<30, 30-59, >=60",,,,,,,,,,,,,,,,
3,sex,"male, female",,,,,,,,,,,,,,,,
4, histologic_type,"epidermoid, adeno, anaplastic",,,,,,,,,,,,,,,,
5,degree_of_diffe,"well, fairly, poorly",,,,,,,,,,,,,,,,
6,bone,"yes, no",,,,,,,,,,,,,,,,
7,bone_marrow,"yes, no",,,,,,,,,,,,,,,,
8,lung,"yes, no",,,,,,,,,,,,,,,,
9,pleura,"yes, no",,,,,,,,,,,,,,,,
10,peritoneum,"yes, no",,,,,,,,,,,,,,,,
11,liver,"yes, no",,,,,,,,,,,,,,,,
12,brain,"yes, no",,,,,,,,,,,,,,,,
13,skin,"yes, no",,,,,,,,,,,,,,,,
14,neck,"yes, no",,,,,,,,,,,,,,,,
15,supraclavicular,"yes, no",,,,,,,,,,,,,,,,
16,axillar,"yes, no",,,,,,,,,,,,,,,,
17,mediastinum,"yes, no",,,,,,,,,,,,,,,,
18,abdominal,"yes, no",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
缺失資料,? indicates unknown value,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,
4,67,,,,,,,,,,,,,,,,,
5,155,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,,,,,
17,0,,,,,,,,,,,,,,,,,
18,0,,,,,,,,,,,,,,,,,
