資料名稱,soybean-large,大黃豆,,,,,,,,,,,,,,,,,
分類數目,19,,,,,,,,,,,,,,,,,,
分類內容,diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury
欄位編號,欄位名稱,欄位說明,,,,,,,,,,,,,,,,,
1,date,0=april,1=may,2=june,3=july,4=august,5=september,6=october,?,,,,,,,,,,
2,plant-stand,0=normal,1=lt-normal,?,,,,,,,,,,,,,,,
3,precip,0=lt-norm,1=norm,2=gt-norm,?,,,,,,,,,,,,,,
4,temp,1=lt-norm,2=norm,3=gt-norm,?,,,,,,,,,,,,,,
5,hail,0=yes,1=no,?,,,,,,,,,,,,,,,
6,crop-hist,1=diff-lst-year,2=same-lst-yr,3=same-lst-two-yrs,4=same-lst-sev-yrs,?,,,,,,,,,,,,,
7,area-damaged,1=scattered,2=low-areas,3=upper-areas,4=whole-field,?,,,,,,,,,,,,,
8,severity,1=minor,2=pot-severe,3=severe,?,,,,,,,,,,,,,,
9,seed-tmt,1=none,2=fungicide,3=other,?,,,,,,,,,,,,,,
10,germination,1=90-100%,2=80-89%,3=lt-80%,?,,,,,,,,,,,,,,
11,plant-growth,1=norm,2=abnorm,?,,,,,,,,,,,,,,,
12,leaves,1=norm,2=abnorm,,,,,,,,,,,,,,,,
13,leafspots-halo,1=absent,2=yellow-halos,3=no-yellow-halos,?,,,,,,,,,,,,,,
14,leafspots-marg,1=w-s-marg,2=no-w-s-marg,3=dna,?,,,,,,,,,,,,,,
15,leafspot-size,1=lt-1/8,2=gt-1/8,3=dna,?,,,,,,,,,,,,,,
16,leaf-shread,1=absent,2=present,?,,,,,,,,,,,,,,,
17,leaf-malf,1=absent,2=present,?,,,,,,,,,,,,,,,
18,leaf-mild,1=absent,2=upper-surf,3=lower-surf,?,,,,,,,,,,,,,,
19,stem,1=norm,2=abnorm,?,,,,,,,,,,,,,,,
20,lodging,1=yes,2=no,?,,,,,,,,,,,,,,,
21,stem-cankers,1=absent,2=below-soil,3=above-soil,4=above-sec-nde,?,,,,,,,,,,,,,
22,canker-lesion,1=dna,2=brown,3=dk-brown-blk,4=tan,?,,,,,,,,,,,,,
23,fruiting-bodies,1=absent,2=present,?,,,,,,,,,,,,,,,
24,external decay,1=absent,2=firm-and-dry,3=watery,?,,,,,,,,,,,,,,
25,mycelium,1=absent,2=present,?,,,,,,,,,,,,,,,
26,int-discolor,1=none,2=brown,3=black,?,,,,,,,,,,,,,,
27,sclerotia,1=absent,2=present,?,,,,,,,,,,,,,,,
28,fruit-pods,1=norm,2=diseased,3=few-present,4=dna,?,,,,,,,,,,,,,
29,fruit spots,1=absent,2=colored,3=brown-w/blk-specks,4=distort,5=dna,?,,,,,,,,,,,,
30,seed,1=norm,2=abnorm?,,,,,,,,,,,,,,,,
31,mold-growth,1=absent,2=present,?,,,,,,,,,,,,,,,
32,seed-discolor,1=absent,2=present,?,,,,,,,,,,,,,,,
33,seed-size,1=norm,2=lt-norm,?,,,,,,,,,,,,,,,
34,shriveling,1=absent,2=present,?,,,,,,,,,,,,,,,
35,roots,1=norm,2=rotted,3=galls-cysts,?,,,,,,,,,,,,,,
